Animal_Name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type
Caecilian,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Amphibian
Frog,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,Amphibian
Newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,Amphibian
Salamander,0,0,1,0,0,1,1,1,1,1,1,0,4,1,0,0,Amphibian
Mantis,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Bug
Leaf Hopper,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Bug
beetle,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Bug
Flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,Bug
Gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Bug
Honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,Bug
Housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Bug
Ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,Bug
Moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Bug
Clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Invertebrate
Crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,Invertebrate
Crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,Invertebrate
Lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,Invertebrate
Octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,Invertebrate
Scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,Invertebrate
Seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,Invertebrate
Slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Invertebrate
Starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,Invertebrate
